STRD_YYMM,SIDO_NM,CCG_NM,GENDER_CD,AGE_CD,TP_BUZ_NO,TP_BUZ_NM,amt,cnt
202606,경기도,광명시,1,1,4010,편 의 점,18990000,4675
202604,강원특별자치도,강릉시,x,x,8021,스넥,9710000,574
202606,서울특별시,영등포구,2,6,4020,슈퍼 마켓,473830000,27151
202603,경기도,수원시 권선구,1,4,4010,편 의 점,450420000,50640
202603,경기도,성남시 중원구,2,2,8006,서양음식,46660000,5581
202601,경기도,안양시 만안구,1,4,4020,슈퍼 마켓,143160000,9431
202605,인천광역시,부평구,2,3,8006,서양음식,186530000,20394
202605,울산광역시,동구,1,4,4020,슈퍼 마켓,227440000,13511
202605,부산광역시,강서구,2,6,8001,일반한식,443330000,10664
202604,대전광역시,대덕구,3,5,4020,슈퍼 마켓,25330000,1266
202604,충청남도,예산군,1,4,4010,편 의 점,108110000,11027
202604,서울특별시,서초구,1,6,8006,서양음식,536880000,36491
202601,경상북도,칠곡군,2,4,8006,서양음식,60070000,4371
202606,울산광역시,동구,1,4,4010,편 의 점,303670000,32962
202602,서울특별시,종로구,1,4,8006,서양음식,429450000,29898
202601,대구광역시,수성구,1,5,4010,편 의 점,359260000,44792
202604,서울특별시,송파구,x,x,8301,제 과 점,106950000,11252
202604,경기도,화성시 병점구,x,x,8005,중국음식,4930000,210
202601,제주특별자치도,서귀포시,2,5,4010,편 의 점,168140000,15922
202604,서울특별시,금천구,1,6,8006,서양음식,85480000,10865
202606,경기도,동두천시,1,5,8001,일반한식,251430000,6524
202604,경기도,하남시,2,3,8006,서양음식,155470000,14326
202606,경기도,안산시 단원구,3,2,4010,편 의 점,226020000,28029
202605,인천광역시,중구,1,5,4010,편 의 점,339350000,43599
202606,경기도,안산시 상록구,1,4,4020,슈퍼 마켓,315310000,17985
202606,경기도,양주시,2,4,8006,서양음식,125360000,10117
202605,경기도,여주시,1,5,4010,편 의 점,223850000,23475
202605,부산광역시,남구,1,3,8001,일반한식,540100000,13568
202604,대구광역시,달서구,2,5,4010,편 의 점,290430000,36670
202603,서울특별시,서대문구,1,6,4010,편 의 점,231670000,32043
202603,서울특별시,강남구,3,1,4010,편 의 점,9360000,1350
202603,경상남도,양산시,1,4,8001,일반한식,908610000,24099
202603,충청남도,공주시,1,2,8001,일반한식,72600000,5250
202604,부산광역시,연제구,1,1,4010,편 의 점,16460000,4025
202604,부산광역시,금정구,2,6,4020,슈퍼 마켓,330770000,23980
202603,광주광역시,광산구,2,5,8001,일반한식,855210000,20541
202603,서울특별시,강서구,1,5,8001,일반한식,1225260000,37164
202603,서울특별시,광진구,1,5,4010,편 의 점,328530000,44781
202603,경기도,성남시 분당구,2,4,8004,일식회집,122560000,2553
202602,경기도,수원시 영통구,1,6,8001,일반한식,495600000,12167
202605,경상북도,포항시 남구,1,5,8001,일반한식,1159780000,25589
202602,경기도,고양시 덕양구,1,2,4010,편 의 점,149510000,22327
202604,경기도,고양시 일산동구,x,x,8005,중국음식,15380000,471
202604,강원특별자치도,삼척시,1,4,4010,편 의 점,62540000,5960
202606,경기도,수원시 장안구,2,6,4010,편 의 점,96830000,11204
202606,전북특별자치도,군산시,1,5,8006,서양음식,132770000,12735
202602,경기도,파주시,2,6,8001,일반한식,665120000,14925
202604,충청남도,태안군,1,6,8006,서양음식,36430000,2450
202605,부산광역시,강서구,1,3,8006,서양음식,252830000,24578
202602,부산광역시,강서구,1,5,8006,서양음식,191150000,18091
202602,경기도,시흥시,3,4,8005,중국음식,217400000,4733
202603,충청남도,부여군,2,6,4020,슈퍼 마켓,41140000,1492
202601,경기도,안양시 동안구,2,6,8006,서양음식,101670000,8336
202604,전북특별자치도,김제시,1,5,8001,일반한식,198280000,4874
202603,충청북도,청주시 상당구,2,6,8001,일반한식,454060000,12515
202603,경기도,화성시 동탄구,2,2,4004,대형할인점,27220000,1586
202603,인천광역시,미추홀구,2,3,4020,슈퍼 마켓,95980000,7249
202604,서울특별시,광진구,1,2,4010,편 의 점,256120000,44512
202603,서울특별시,서대문구,2,2,8006,서양음식,351050000,36632
202601,부산광역시,남구,3,3,8006,서양음식,20140000,2341
202603,경기도,남양주시,2,4,8301,제 과 점,86560000,7310
202602,전라남도,무안군,2,2,8006,서양음식,24040000,1827
202604,대구광역시,서구,1,4,4020,슈퍼 마켓,296840000,17402
202602,인천광역시,남동구,2,6,8006,서양음식,108070000,10753
202603,부산광역시,동래구,1,2,8006,서양음식,113770000,13745
202602,경기도,평택시,3,2,8021,스넥,8330000,507
202602,부산광역시,동래구,2,5,8006,서양음식,236210000,24172
202603,제주특별자치도,제주시,1,3,8021,스넥,88250000,4822
202604,경기도,양주시,1,4,8006,서양음식,140660000,11698
202603,서울특별시,영등포구,1,3,4010,편 의 점,532590000,80947
202602,경상남도,창원시 의창구,1,6,8006,서양음식,104550000,9391
202604,경기도,이천시,1,6,8021,스넥,28910000,1419
202604,경상남도,거제시,1,5,8301,제 과 점,30810000,2056
202603,경기도,파주시,1,3,4010,편 의 점,405010000,46127
202606,인천광역시,서구,2,5,8006,서양음식,161540000,17006
202604,경상남도,고성군,2,6,8001,일반한식,81160000,1634
202602,서울특별시,마포구,1,3,4010,편 의 점,381220000,56000
202603,대구광역시,동구,1,4,4010,편 의 점,370040000,46149
202603,경상북도,경주시,1,4,4010,편 의 점,338880000,35040
202602,대구광역시,중구,1,3,8001,일반한식,576160000,13778
202602,서울특별시,도봉구,1,2,8301,제 과 점,6240000,632
202604,인천광역시,계양구,2,6,8301,제 과 점,52020000,4853
202603,경기도,안산시 상록구,3,4,8006,서양음식,36680000,3146
202606,부산광역시,강서구,1,3,8006,서양음식,216310000,22918
202605,경상남도,김해시,2,4,4020,슈퍼 마켓,282320000,13592
202603,경상남도,김해시,3,5,8001,일반한식,71090000,2151
202602,경기도,수원시 권선구,2,4,8001,일반한식,298170000,7617
202601,제주특별자치도,제주시,1,3,4010,편 의 점,559630000,68189
202604,서울특별시,강동구,2,3,8001,일반한식,310870000,10109
202603,부산광역시,남구,1,4,4010,편 의 점,274980000,33847
202603,경상남도,진주시,1,6,4010,편 의 점,177180000,20019
202606,경기도,용인시 처인구,1,4,8301,제 과 점,22080000,1875
202605,부산광역시,해운대구,3,4,8021,스넥,13720000,911
202603,경기도,하남시,1,3,8006,서양음식,161520000,14389
202603,충청남도,천안시 동남구,1,6,8001,일반한식,738040000,24190
202602,경기도,광명시,1,3,8005,중국음식,31480000,1001
202602,경상남도,진주시,1,1,4010,편 의 점,22280000,4235
202603,광주광역시,광산구,1,2,8006,서양음식,131660000,16116
202605,경기도,화성시 만세구,1,4,8021,스넥,88290000,4221
202606,경기도,안산시 단원구,1,6,8001,일반한식,1165870000,32095
202605,충청남도,서천군,1,2,8006,서양음식,5030000,513
202604,전라남도,순천시,1,3,8006,서양음식,140260000,12887
202603,충청남도,금산군,3,6,8001,일반한식,19240000,532
202602,경기도,성남시 수정구,2,4,8001,일반한식,201860000,6040
202604,서울특별시,동작구,2,6,8001,일반한식,515970000,16050
202605,인천광역시,계양구,x,x,8001,일반한식,155990000,2949
202605,충청북도,청주시 서원구,2,4,8005,중국음식,15840000,516
202604,서울특별시,관악구,2,5,8001,일반한식,475530000,16292
202604,서울특별시,은평구,x,x,8004,일식회집,16250000,394
202601,부산광역시,수영구,2,4,8021,스넥,46620000,3285
202601,부산광역시,동래구,2,2,8301,제 과 점,38740000,3725
202602,울산광역시,동구,1,5,8006,서양음식,87650000,7298
202604,경상남도,통영시,2,3,8006,서양음식,36000000,3085
202605,서울특별시,서초구,1,4,8006,서양음식,601170000,46005
202601,서울특별시,성동구,2,2,4010,편 의 점,168050000,23390
202601,경기도,안산시 단원구,2,5,4010,편 의 점,210780000,22102
202605,경기도,구리시,2,5,8301,제 과 점,22430000,2029
202604,강원특별자치도,원주시,x,x,8004,일식회집,11890000,277
202606,경상북도,김천시,2,5,8021,스넥,26220000,1707
202605,전라남도,순천시,1,3,4010,편 의 점,213990000,23726
202603,경상남도,창원시 의창구,2,5,8001,일반한식,511640000,12941
202605,경기도,이천시,1,4,8005,중국음식,67810000,2446
202601,강원특별자치도,강릉시,1,5,8004,일식회집,165120000,1532
202602,경기도,성남시 분당구,1,5,8006,서양음식,348300000,27223
202604,광주광역시,북구,2,3,4010,편 의 점,173930000,22769
202601,전북특별자치도,전주시 완산구,3,6,4010,편 의 점,13500000,1479
202605,경기도,안양시 만안구,3,3,8006,서양음식,12440000,1327
202606,울산광역시,동구,3,3,8005,중국음식,1960000,87
202605,충청남도,공주시,3,3,8006,서양음식,6370000,547
202603,인천광역시,부평구,1,5,8006,서양음식,158830000,19262
202605,경기도,시흥시,3,3,8005,중국음식,222030000,5200
202604,강원특별자치도,속초시,1,4,4010,편 의 점,155090000,15997
202603,서울특별시,영등포구,1,6,8021,스넥,99160000,6980
202602,충청남도,금산군,1,4,8001,일반한식,77640000,3123
202601,인천광역시,중구,1,4,8006,서양음식,308020000,22459
202601,광주광역시,남구,1,5,4020,슈퍼 마켓,420380000,23776
202606,경기도,과천시,1,4,4010,편 의 점,80740000,11387
202605,경기도,파주시,2,4,4010,편 의 점,259130000,26886
202605,전라남도,목포시,2,4,4020,슈퍼 마켓,267720000,11227
202604,대구광역시,달성군,1,5,8001,일반한식,859860000,28285
202603,부산광역시,기장군,2,6,8301,제 과 점,32410000,2373
202603,전라남도,완도군,1,6,8001,일반한식,205070000,3764
202602,경기도,수원시 권선구,2,3,8301,제 과 점,36440000,2358
202606,서울특별시,성북구,2,2,4010,편 의 점,184940000,33287
202604,부산광역시,기장군,1,6,8301,제 과 점,21780000,1616
202603,대전광역시,유성구,3,1,4010,편 의 점,18720000,3261
202604,충청북도,증평군,x,x,4010,편 의 점,7980000,1026
202605,경상남도,김해시,3,3,8001,일반한식,115650000,3839
202602,경상북도,포항시 남구,1,3,4020,슈퍼 마켓,124910000,7487
202603,부산광역시,동구,2,4,8301,제 과 점,28330000,2544
202601,대전광역시,서구,1,4,4010,편 의 점,375940000,44141
202601,인천광역시,강화군,1,4,4020,슈퍼 마켓,36050000,1520
202604,서울특별시,성동구,1,3,8004,일식회집,105480000,2515
202601,충청북도,청주시 상당구,2,6,8001,일반한식,381730000,10401
202606,인천광역시,미추홀구,1,4,8006,서양음식,141940000,17880
202602,대전광역시,유성구,2,6,4004,대형할인점,213510000,5837
202602,충청북도,충주시,1,2,4010,편 의 점,100700000,13467
202603,경기도,성남시 중원구,1,4,8006,서양음식,64730000,8525
202605,경기도,부천시 소사구,2,3,4004,대형할인점,210020000,6584
202606,충청남도,아산시,1,2,4010,편 의 점,255860000,38905
202606,대구광역시,달성군,1,4,8001,일반한식,661790000,20875
202605,충청남도,아산시,3,1,4020,슈퍼 마켓,9800000,760
202601,경상북도,영천시,1,3,4010,편 의 점,67120000,7260
202602,경기도,이천시,3,6,8004,일식회집,1150000,19
202603,충청남도,부여군,3,5,4010,편 의 점,3140000,287
202604,경기도,용인시 처인구,1,3,4010,편 의 점,339230000,40164
202605,울산광역시,동구,3,2,4020,슈퍼 마켓,44320000,2928
202604,부산광역시,동구,1,4,4010,편 의 점,201870000,25359
202606,충청북도,청주시 흥덕구,1,6,4010,편 의 점,206710000,24487
202603,전라남도,목포시,2,4,8021,스넥,48280000,2664
202601,충청북도,충주시,1,5,8001,일반한식,782370000,23681
202604,서울특별시,서초구,2,6,4010,편 의 점,166110000,21251
202604,서울특별시,마포구,1,6,8001,일반한식,1102150000,32078
202601,강원특별자치도,속초시,2,4,8001,일반한식,443100000,10009
202605,경상남도,진주시,1,2,4010,편 의 점,193980000,32228
202603,부산광역시,해운대구,1,5,4010,편 의 점,456640000,56359
202601,충청남도,아산시,2,6,8021,스넥,29300000,1634
202606,부산광역시,해운대구,1,2,8021,스넥,66500000,4088
202606,강원특별자치도,양양군,2,3,8301,제 과 점,5170000,294
202604,경상남도,창원시 의창구,2,6,8301,제 과 점,63610000,4054
202602,대전광역시,유성구,1,5,8006,서양음식,190240000,14943
202606,서울특별시,성북구,2,3,4010,편 의 점,128200000,18069
202604,경기도,파주시,2,3,8006,서양음식,209030000,16517
202604,경상북도,안동시,x,x,8005,중국음식,7770000,369
202601,서울특별시,도봉구,1,6,8021,스넥,56690000,3727
202606,경상북도,김천시,2,4,4010,편 의 점,52260000,6537
202606,경기도,수원시 영통구,2,6,8001,일반한식,319250000,8383
202606,경상남도,남해군,2,4,4010,편 의 점,20430000,2187
202602,서울특별시,동작구,1,2,4020,슈퍼 마켓,32280000,4111
202601,인천광역시,미추홀구,1,5,8005,중국음식,68590000,2576
202601,충청남도,보령시,1,4,4010,편 의 점,126710000,11740
202601,경상북도,포항시 남구,1,2,8001,일반한식,266050000,6022
202604,경상북도,영천시,1,3,4010,편 의 점,72840000,8017
202605,경기도,화성시 만세구,2,5,4010,편 의 점,155770000,15247
202605,경기도,남양주시,1,3,4010,편 의 점,415020000,49707
202605,경상남도,산청군,2,5,8006,서양음식,21680000,1505
202604,경상북도,구미시,1,4,8005,중국음식,64520000,2617
202602,경기도,부천시 오정구,3,3,4020,슈퍼 마켓,44400000,2710
202601,경상북도,경산시,1,2,4010,편 의 점,176510000,27288
202605,인천광역시,연수구,1,3,8006,서양음식,254170000,21846
202605,부산광역시,연제구,2,4,8301,제 과 점,69430000,5912
202601,경기도,고양시 덕양구,1,4,8001,일반한식,853510000,22043
202606,서울특별시,서초구,2,2,8001,일반한식,470630000,20531
202601,경기도,의왕시,2,6,8001,일반한식,347770000,6949
202606,경기도,부천시 원미구,3,4,4010,편 의 점,65620000,8123
202603,울산광역시,울주군,1,4,8006,서양음식,133630000,12546
202603,부산광역시,연제구,1,6,8301,제 과 점,48310000,4153
202606,서울특별시,구로구,1,5,4010,편 의 점,426100000,57069
202605,경상남도,양산시,2,4,8001,일반한식,478370000,12629
202602,충청북도,옥천군,2,5,8001,일반한식,78920000,3275
202603,경상북도,영천시,2,2,8301,제 과 점,2640000,173
202603,강원특별자치도,원주시,3,2,4010,편 의 점,54940000,7059
202606,경기도,양평군,1,4,4020,슈퍼 마켓,81900000,3175
202606,경상북도,경주시,1,5,8021,스넥,93650000,6765
202604,충청북도,괴산군,1,4,8006,서양음식,11040000,954
202604,인천광역시,동구,2,3,8001,일반한식,16520000,495
202603,인천광역시,미추홀구,1,5,8021,스넥,97870000,5963
202603,부산광역시,수영구,2,3,8301,제 과 점,52490000,4354
202602,경상남도,진주시,1,4,4004,대형할인점,387070000,8753
202601,인천광역시,부평구,2,4,8001,일반한식,457560000,13158
202602,경상남도,창원시 의창구,1,3,8021,스넥,27180000,1582
202604,전라남도,화순군,1,4,8006,서양음식,39890000,3621
202602,부산광역시,수영구,2,5,8021,스넥,55710000,3895
202602,대전광역시,동구,1,6,8001,일반한식,494210000,15905
202601,경상남도,김해시,1,4,8005,중국음식,122990000,4514
202601,경기도,안산시 단원구,3,3,8005,중국음식,170610000,4971
202604,전라남도,고흥군,1,5,8006,서양음식,28610000,2143
202606,인천광역시,부평구,3,4,4010,편 의 점,87810000,10282
202603,대전광역시,유성구,1,3,8004,일식회집,69680000,1656
202606,대전광역시,중구,3,5,4020,슈퍼 마켓,25110000,1645
202601,경상남도,통영시,1,5,8021,스넥,44510000,1991
202605,대구광역시,동구,2,3,8006,서양음식,172820000,16634
202604,대구광역시,수성구,x,x,8004,일식회집,151200000,3386
202602,서울특별시,중구,1,6,8301,제 과 점,88020000,7387
202604,강원특별자치도,홍천군,2,4,8021,스넥,8450000,479
202601,부산광역시,사하구,1,4,8001,일반한식,758680000,18985
202601,전라남도,나주시,3,6,8001,일반한식,36740000,814
202601,전북특별자치도,남원시,1,5,8001,일반한식,245210000,5950
202601,경기도,안산시 상록구,1,2,8001,일반한식,172530000,5217
202601,울산광역시,남구,1,6,8021,스넥,68280000,3884
202606,충청북도,청주시 청원구,2,6,8001,일반한식,381050000,10072
202605,인천광역시,중구,2,4,8006,서양음식,240150000,18358
202604,서울특별시,영등포구,1,1,4010,편 의 점,28190000,6048
202605,서울특별시,영등포구,2,5,8001,일반한식,812150000,21051
202602,경기도,성남시 분당구,1,4,8021,스넥,92700000,5524
202601,경기도,안산시 단원구,2,4,8021,스넥,46030000,3015
202604,대전광역시,유성구,3,2,4004,대형할인점,10440000,405
202601,경기도,수원시 권선구,2,3,4004,대형할인점,187110000,5476
202602,부산광역시,영도구,1,2,8021,스넥,8420000,472
202605,경기도,수원시 권선구,1,4,4010,편 의 점,452950000,52504
202603,경기도,평택시,3,6,8001,일반한식,111590000,3183
202601,강원특별자치도,강릉시,1,5,4010,편 의 점,295420000,30667
202601,부산광역시,영도구,2,6,8301,제 과 점,43420000,3631
202605,충청북도,충주시,2,3,8001,일반한식,179990000,5671
202602,서울특별시,관악구,3,6,4020,슈퍼 마켓,69090000,4486
202603,충청북도,충주시,2,3,8301,제 과 점,18510000,1275
202603,경기도,수원시 영통구,2,6,8301,제 과 점,55040000,4421
202605,부산광역시,강서구,2,5,8021,스넥,37450000,2833
202603,강원특별자치도,원주시,1,3,8001,일반한식,547130000,14063
202606,강원특별자치도,춘천시,1,5,8005,중국음식,58470000,2141
202602,서울특별시,강북구,1,5,8006,서양음식,108160000,11094
202602,경상북도,구미시,1,5,8004,일식회집,54700000,858
202601,경기도,안산시 단원구,3,2,4004,대형할인점,43290000,1034
202605,경상남도,창원시 의창구,2,6,4020,슈퍼 마켓,300010000,15252
202603,대구광역시,중구,1,4,8004,일식회집,55790000,1184
202604,경기도,용인시 처인구,1,5,4004,대형할인점,81500000,2942
202602,부산광역시,북구,1,1,8001,일반한식,27960000,1043
202604,서울특별시,광진구,2,4,8001,일반한식,349830000,12043
202604,대전광역시,중구,2,4,4020,슈퍼 마켓,93650000,6287
202604,강원특별자치도,횡성군,1,6,4020,슈퍼 마켓,106690000,4531
202604,서울특별시,서초구,3,4,8301,제 과 점,8810000,894
202604,전라남도,여수시,3,6,8001,일반한식,116220000,2709
202604,경상남도,거제시,1,2,4020,슈퍼 마켓,16600000,1208
202603,서울특별시,강북구,2,3,8006,서양음식,86000000,9495
202606,경기도,화성시 만세구,3,3,4020,슈퍼 마켓,785730000,36879
202603,전라남도,화순군,1,6,8006,서양음식,54290000,4156
202601,전북특별자치도,전주시 완산구,1,4,8006,서양음식,178580000,13743
202601,울산광역시,동구,2,6,8021,스넥,17200000,1019
202604,대구광역시,북구,2,5,8021,스넥,98000000,6852
202602,서울특별시,광진구,1,4,4020,슈퍼 마켓,154230000,8665
202604,제주특별자치도,서귀포시,2,4,4020,슈퍼 마켓,194450000,6736
202605,충청남도,홍성군,2,4,4020,슈퍼 마켓,45400000,1858
202604,서울특별시,성동구,2,6,8001,일반한식,404140000,11108
202605,경상남도,창원시 진해구,1,5,8301,제 과 점,32330000,2047
202602,인천광역시,계양구,1,5,8006,서양음식,93140000,9940
202602,경기도,용인시 처인구,1,3,8006,서양음식,137000000,10308
202601,부산광역시,사상구,1,1,4010,편 의 점,16870000,3579
202605,서울특별시,종로구,2,6,8005,중국음식,58750000,1429
202601,서울특별시,강북구,2,5,8005,중국음식,28020000,1077
202605,경기도,광주시,1,3,4020,슈퍼 마켓,203500000,9513
202605,경기도,안산시 상록구,2,5,8001,일반한식,574600000,15333
202605,경상북도,경산시,1,3,8001,일반한식,445970000,12606
202605,광주광역시,서구,2,5,4020,슈퍼 마켓,549550000,26859
202604,경기도,용인시 수지구,1,6,4010,편 의 점,120060000,16283
202601,제주특별자치도,제주시,1,5,8301,제 과 점,154470000,8611
202603,경기도,성남시 분당구,1,5,4020,슈퍼 마켓,168440000,8078
202606,경상남도,사천시,1,6,4010,편 의 점,81970000,8338
202602,서울특별시,은평구,2,6,8001,일반한식,573740000,17926
202603,전북특별자치도,전주시 완산구,1,6,4010,편 의 점,131730000,15707
202603,전북특별자치도,전주시 덕진구,1,2,4020,슈퍼 마켓,67600000,7371
202606,전북특별자치도,익산시,1,6,8001,일반한식,632760000,16534
202605,광주광역시,광산구,3,2,8001,일반한식,148450000,5175
202604,충청남도,계룡시,x,x,8021,스넥,3710000,211
202606,경기도,용인시 처인구,1,6,8001,일반한식,1053170000,33012
202603,전라남도,화순군,1,2,8006,서양음식,11020000,1204
202602,서울특별시,양천구,2,4,8021,스넥,60400000,4534
202605,경기도,성남시 수정구,1,3,8021,스넥,27190000,1865
202602,부산광역시,사하구,2,6,4010,편 의 점,129220000,14815
202606,경상북도,영주시,2,6,8001,일반한식,149740000,3148
202601,충청북도,청주시 흥덕구,1,3,4010,편 의 점,411010000,51796
202606,광주광역시,남구,1,2,8006,서양음식,46340000,6053
202605,서울특별시,노원구,3,2,4010,편 의 점,42390000,7334
202604,경기도,용인시 처인구,1,5,8006,서양음식,182830000,14790
202604,부산광역시,금정구,2,5,4020,슈퍼 마켓,186650000,15266
202606,서울특별시,광진구,1,6,8301,제 과 점,51050000,4854
202603,부산광역시,부산진구,2,4,8301,제 과 점,114620000,10497
202602,서울특별시,강남구,1,1,8001,일반한식,82520000,4114
202605,충청북도,제천시,1,3,8006,서양음식,53490000,4394
202606,강원특별자치도,속초시,2,5,8001,일반한식,477690000,9863
202604,세종특별자치시,세종특별자치시,1,6,8005,중국음식,45440000,1605
202604,제주특별자치도,제주시,1,4,8004,일식회집,151800000,2049
202606,부산광역시,부산진구,1,4,8005,중국음식,89600000,3449
202606,충청북도,진천군,1,6,4010,편 의 점,99590000,9832
202604,충청북도,청주시 서원구,2,5,8006,서양음식,72500000,5665
202605,경상북도,문경시,1,5,4020,슈퍼 마켓,68670000,3514
202602,경상남도,진주시,1,5,8301,제 과 점,47920000,2877
202601,경기도,의정부시,1,5,8005,중국음식,83910000,3251
202603,강원특별자치도,속초시,1,3,8001,일반한식,345260000,7613
202604,경기도,고양시 일산서구,1,2,8301,제 과 점,6840000,741
202606,경기도,성남시 중원구,1,5,8006,서양음식,61490000,8600
202604,광주광역시,광산구,2,2,8021,스넥,25730000,2035
202604,경기도,포천시,3,3,4010,편 의 점,93020000,9659
202605,전북특별자치도,군산시,2,2,8006,서양음식,59730000,4975
202603,전북특별자치도,고창군,2,3,8006,서양음식,12680000,840
202606,대구광역시,남구,1,6,4020,슈퍼 마켓,331560000,25167
202603,경기도,수원시 영통구,2,5,8001,일반한식,354350000,10088
202605,서울특별시,강남구,2,1,8021,스넥,11010000,1142
202601,경기도,수원시 영통구,2,4,8021,스넥,53130000,3790
202606,서울특별시,강서구,3,3,4010,편 의 점,49610000,6334
202606,강원특별자치도,속초시,1,2,4010,편 의 점,67820000,7922
202606,경기도,여주시,1,3,8021,스넥,13360000,558
202601,경기도,부천시 원미구,2,5,8001,일반한식,672310000,19451
202601,대구광역시,서구,1,2,8001,일반한식,110570000,2881
202605,경상남도,김해시,3,6,4010,편 의 점,14240000,1539
202604,대구광역시,수성구,2,2,4010,편 의 점,123130000,19064
202606,충청북도,괴산군,2,2,4010,편 의 점,4730000,777
202606,부산광역시,금정구,2,3,8006,서양음식,139120000,17107
202603,충청북도,진천군,1,4,4020,슈퍼 마켓,117430000,3719
202606,경상북도,경산시,1,5,8301,제 과 점,30300000,2817
202603,충청북도,음성군,1,4,4020,슈퍼 마켓,134060000,4396
202605,부산광역시,연제구,2,2,4004,대형할인점,53580000,1697
202601,부산광역시,연제구,1,4,4004,대형할인점,390140000,9263
202604,경기도,하남시,2,2,8001,일반한식,113080000,3052
202604,충청남도,천안시 서북구,1,4,8004,일식회집,90410000,1377
202606,서울특별시,관악구,2,3,8021,스넥,48360000,3999
202606,충청북도,진천군,2,6,4020,슈퍼 마켓,149790000,3785
202604,서울특별시,은평구,1,4,8006,서양음식,169300000,15942
202601,부산광역시,동구,2,2,8006,서양음식,56410000,7835
202604,인천광역시,서구,1,2,4020,슈퍼 마켓,55900000,4094
202602,광주광역시,북구,3,2,8006,서양음식,27180000,3305
202601,서울특별시,동작구,2,4,4010,편 의 점,119100000,16030
202602,울산광역시,남구,1,3,8005,중국음식,57660000,1518
202603,경기도,남양주시,2,2,4004,대형할인점,40750000,1785
202604,부산광역시,동구,2,2,8001,일반한식,101480000,4233
202603,경기도,김포시,1,2,8001,일반한식,228010000,6041
202603,전라남도,완도군,3,3,4010,편 의 점,32870000,2747
202603,경기도,용인시 수지구,3,3,8001,일반한식,14030000,547
202601,인천광역시,남동구,2,3,8021,스넥,37490000,2831
202602,경기도,안산시 상록구,2,5,8006,서양음식,98700000,9906
202604,경기도,성남시 분당구,2,3,8006,서양음식,408520000,34986
202601,경기도,화성시 만세구,3,3,8021,스넥,22690000,1354
202604,경기도,안산시 상록구,2,4,8301,제 과 점,35300000,3015
202604,전북특별자치도,익산시,3,2,8021,스넥,4030000,173
202602,경상남도,창원시 성산구,1,3,8301,제 과 점,38880000,2634
202606,서울특별시,중구,1,1,8006,서양음식,15430000,1416
202601,전북특별자치도,김제시,2,2,8006,서양음식,8540000,577
202603,경기도,양평군,2,4,4020,슈퍼 마켓,77590000,2878
202604,부산광역시,해운대구,1,5,8006,서양음식,294380000,30459
202604,전북특별자치도,부안군,2,6,8001,일반한식,127180000,2233
202603,경기도,과천시,1,2,8301,제 과 점,2440000,285
202603,전북특별자치도,정읍시,2,3,8301,제 과 점,4890000,343
202601,경상북도,상주시,1,5,8001,일반한식,432790000,10645
202604,서울특별시,용산구,1,6,8005,중국음식,155490000,4910
202604,서울특별시,마포구,2,3,4020,슈퍼 마켓,68870000,5155
202601,서울특별시,양천구,1,2,8021,스넥,24140000,1451
202601,경기도,고양시 일산동구,1,6,4010,편 의 점,233730000,27324
202605,충청남도,천안시 서북구,1,1,8006,서양음식,17190000,2149
202603,경기도,안양시 만안구,2,1,4010,편 의 점,15810000,3420
